Age,State,Income,Ethnicity,Education
55-64,Florida,"$100,000 to $149,999",White,"Some college, no degree"
65+,Massachusetts,"$25,000 to $49,999",White,Associate's degree
45-54,Iowa,"$75,000 to $99,999",White,"Graduate degree, professional degree or PhD"
45-54,Nevada,"$75,000 to $99,999",White,High school graduate (includes equivalency)
65+,Kansas,"Less than $25,000",White,High school graduate (includes equivalency)
55-64,Minnesota,"Less than $25,000",White,"Some college, no degree"
65+,New York,"$100,000 to $149,999",White,"Some college, no degree"
45-54,Alabama,"$25,000 to $49,999",White,Bachelor's degree
65+,California,"$25,000 to $49,999",White,Bachelor's degree
55-64,Wisconsin,"$25,000 to $49,999",White,"Some college, no degree"
18-24,New York,"$50,000 to $74,999",Asian,"Some college, no degree"
65+,Idaho,"$50,000 to $74,999",White,"Graduate degree, professional degree or PhD"
55-64,California,"Less than $25,000",White,"Some college, no degree"
25-34,Virginia,"$100,000 to $149,999",White,Bachelor's degree
25-34,Illinois,"$75,000 to $99,999",HispanicOrLatino,"Some college, no degree"
25-34,Mississippi,"$150,000 or greater",White,Bachelor's degree
65+,New Jersey,"Less than $25,000",White,"Some college, no degree"
65+,Colorado,"$25,000 to $49,999",White,"Some college, no degree"
65+,Connecticut,"$50,000 to $74,999",Other,Associate's degree
35-44,Georgia,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
65+,Virginia,"Less than $25,000",BlackOrAfricanAmerican,High school graduate (includes equivalency)
65+,Texas,"$50,000 to $74,999",White,High school graduate (includes equivalency)
45-54,Texas,"$25,000 to $49,999",BlackOrAfricanAmerican,"Some college, no degree"
65+,Rhode Island,"$50,000 to $74,999",White,Bachelor's degree
55-64,Virginia,"$150,000 or greater",BlackOrAfricanAmerican,"Some college, no degree"
25-34,Oklahoma,"$100,000 to $149,999",White,Bachelor's degree
35-44,New Jersey,"$100,000 to $149,999",White,Bachelor's degree
35-44,Arizona,"$50,000 to $74,999",White,"Graduate degree, professional degree or PhD"
65+,Florida,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
65+,Indiana,"$50,000 to $74,999",White,Associate's degree
65+,Maine,"$50,000 to $74,999",White,High school graduate (includes equivalency)
65+,Utah,"Less than $25,000",White,"9th to 12th grade, no diploma"
55-64,Texas,"Less than $25,000",White,"Some college, no degree"
18-24,Oregon,"Less than $25,000",White,No schooling completed
25-34,Georgia,"$25,000 to $49,999",White,"Graduate degree, professional degree or PhD"
45-54,Minnesota,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
25-34,Maryland,"$75,000 to $99,999",BlackOrAfricanAmerican,Bachelor's degree
45-54,Alabama,"Less than $25,000",Other,Associate's degree
65+,Pennsylvania,"$100,000 to $149,999",White,High school graduate (includes equivalency)
18-24,Ohio,"$100,000 to $149,999",BlackOrAfricanAmerican,High school graduate (includes equivalency)
45-54,Massachusetts,"$25,000 to $49,999",White,High school graduate (includes equivalency)
65+,New York,"$25,000 to $49,999",White,High school graduate (includes equivalency)
65+,New York,"$50,000 to $74,999",White,High school graduate (includes equivalency)
65+,North Dakota,"$50,000 to $74,999",White,"Some college, no degree"
65+,North Carolina,"$50,000 to $74,999",White,"Some college, no degree"
