State,Year,CandidateVotes,TotalVotes,PartyAffiliation
Arizona,1976,321236,741210,REPUBLICAN
Arizona,1976,1565,741210,OTHER
Arizona,1976,400334,741210,DEMOCRAT
Arizona,1976,7310,741210,LIBERTARIAN
Arizona,1976,10765,741210,OTHER
California,1976,82739,7470586,OTHER
California,1976,3748973,7470586,REPUBLICAN
California,1976,3502862,7470586,DEMOCRAT
California,1976,31629,7470586,OTHER
California,1976,104383,7470586,OTHER
Connecticut,1976,785683,1361666,REPUBLICAN
Connecticut,1976,558,1361666,OTHER
Connecticut,1976,14407,1361666,OTHER
Connecticut,1976,561018,1361666,DEMOCRAT
Delaware,1976,98042,224795,DEMOCRAT
Delaware,1976,125454,224795,REPUBLICAN
Delaware,1976,646,224795,OTHER
Delaware,1976,216,224795,OTHER
Delaware,1976,437,224795,OTHER
Florida,1976,1799518,2857534,DEMOCRAT
Florida,1976,130,2857534,OTHER
Florida,1976,1057886,2857534,REPUBLICAN
Hawaii,1976,162305,302092,DEMOCRAT
Hawaii,1976,1433,302092,OTHER
Hawaii,1976,122724,302092,REPUBLICAN
Hawaii,1976,14226,302092,OTHER
Hawaii,1976,1404,302092,LIBERTARIAN
Indiana,1976,1275833,2161187,REPUBLICAN
Indiana,1976,868522,2161187,DEMOCRAT
Indiana,1976,14321,2161187,OTHER
Indiana,1976,2511,2161187,OTHER
Maine,1976,193489,486193,REPUBLICAN
Maine,1976,292704,486193,DEMOCRAT
Maryland,1976,530439,1365290,REPUBLICAN
Maryland,1976,772101,1365290,DEMOCRAT
Maryland,1976,62750,1365290,OTHER
Massachusetts,1976,26283,2491255,OTHER
Massachusetts,1976,157,2491255,OTHER
Massachusetts,1976,722641,2491255,REPUBLICAN
Massachusetts,1976,15517,2491255,OTHER
Massachusetts,1976,1726657,2491255,DEMOCRAT
Michigan,1976,8842,3490412,LIBERTARIAN
Michigan,1976,7281,3490412,OTHER
Michigan,1976,1635087,3490412,REPUBLICAN
Michigan,1976,1831031,3490412,DEMOCRAT
Michigan,1976,2554,3490412,OTHER
Michigan,1976,3399,3490412,OTHER
Michigan,1976,2218,3490412,OTHER
Minnesota,1976,5476,1912020,LIBERTARIAN
Minnesota,1976,9380,1912020,OTHER
Minnesota,1976,2214,1912020,OTHER
Minnesota,1976,478602,1912020,REPUBLICAN
Minnesota,1976,125612,1912020,OTHER
Minnesota,1976,1290736,1912020,DEMOCRAT
Mississippi,1976,554433,554433,DEMOCRAT
Missouri,1976,1090067,1914460,REPUBLICAN
Missouri,1976,813571,1914460,DEMOCRAT
Missouri,1976,10822,1914460,OTHER
Montana,1976,115213,321445,REPUBLICAN
Montana,1976,206232,321445,DEMOCRAT
Nebraska,1976,58,593310,OTHER
Nebraska,1976,163,593310,OTHER
Nebraska,1976,279284,593310,REPUBLICAN
Nebraska,1976,313805,593310,DEMOCRAT
Nevada,1976,3619,201899,OTHER
Nevada,1976,63471,201899,REPUBLICAN
Nevada,1976,5288,201899,OTHER
Nevada,1976,2307,201899,LIBERTARIAN
Nevada,1976,127214,201899,DEMOCRAT
New Jersey,1976,6650,2771390,OTHER
New Jersey,1976,19907,2771390,LIBERTARIAN
