State,Year,CandidateVotes,TotalVotes,PartyAffiliation
Minnesota,2018,23101,2596879,OTHER
New York,2004,744943,7447818,OTHER
Pennsylvania,1994,1648481,3513361,DEMOCRAT
New Jersey,1996,23949,2883466,OTHER
Missouri,2016,67738,2802637,LIBERTARIAN
Indiana,1992,99,2211426,OTHER
Illinois,1984,12366,4787335,OTHER
Arizona,1998,23004,1013280,LIBERTARIAN
Florida,2016,45820,9301820,OTHER
South Dakota,1980,129018,327478,DEMOCRAT
Hawaii,2000,251215,345623,DEMOCRAT
New York,2006,1212902,4700632,REPUBLICAN
Illinois,2014,1538522,3603519,REPUBLICAN
Wisconsin,1998,4266,1760836,OTHER
Oregon,2014,814537,1461618,DEMOCRAT
Iowa,1986,106,891762,OTHER
Nebraska,2020,58411,930012,OTHER
South Carolina,2004,13464,1597221,OTHER
Alaska,2010,21,255503,OTHER
South Carolina,1992,591030,1180438,DEMOCRAT
Minnesota,1988,1176210,2093953,REPUBLICAN
Tennessee,2006,14,1833695,OTHER
Florida,1994,2895200,4106816,REPUBLICAN
Tennessee,1994,13244,1480391,OTHER
Michigan,2018,27251,4237271,OTHER
Florida,1982,1015330,2653419,REPUBLICAN
Tennessee,2012,12,2321477,OTHER
Illinois,2008,119135,5329884,OTHER
Connecticut,2016,920766,1596276,DEMOCRAT
North Carolina,1996,1345833,2556456,REPUBLICAN
Tennessee,1996,5569,1778664,OTHER
Arizona,1976,400334,741210,DEMOCRAT
New Jersey,2012,3834,3376649,OTHER
New Jersey,1976,19907,2771390,LIBERTARIAN
Maryland,2010,1140531,1833858,DEMOCRAT
Pennsylvania,2000,24089,4735116,OTHER
Wisconsin,1982,21807,1544883,OTHER
Colorado,2010,851590,1772286,DEMOCRAT
Kansas,1978,22497,748839,OTHER
Louisiana,2010,5734,1264994,OTHER
South Dakota,1996,166533,324487,DEMOCRAT
Pennsylvania,2016,235142,6051856,LIBERTARIAN
Louisiana,2016,6855,1997218,DEMOCRAT
Montana,2014,7933,369826,LIBERTARIAN
Tennessee,1976,751180,1432046,DEMOCRAT
Idaho,1986,196958,382024,REPUBLICAN
Delaware,2018,4170,362592,OTHER
Tennessee,1994,623164,1480391,DEMOCRAT
New Jersey,2012,2198,3376649,OTHER
New York,2018,246171,6055151,OTHER
Arkansas,1978,113,517138,OTHER
Ohio,1982,1923767,3395463,DEMOCRAT
Illinois,1980,29328,4580029,LIBERTARIAN
Nevada,2000,69,600776,OTHER
New York,2016,45402,7800725,OTHER
Nebraska,2014,347636,540337,REPUBLICAN
Nevada,2004,9559,810068,LIBERTARIAN
New Jersey,2018,21212,3169310,LIBERTARIAN
Connecticut,2006,5922,1134777,OTHER
South Carolina,1990,10317,750716,OTHER
Michigan,1984,2686,3700938,OTHER
New Jersey,1996,1519154,2883466,DEMOCRAT
Arizona,2010,1005615,1708484,REPUBLICAN
Maine,1984,28,551406,OTHER
Louisiana,1998,3227,969165,OTHER
Tennessee,2020,10727,2959761,OTHER
West Virginia,2010,6425,529948,OTHER
Nebraska,2018,269917,698883,DEMOCRAT
Colorado,2004,8442,2107472,OTHER
New Mexico,1996,24230,551821,OTHER
Florida,2000,80830,5856731,OTHER
Texas,2014,2861531,4648358,REPUBLICAN
Maryland,2000,715178,1946898,REPUBLICAN
New Mexico,2000,265,589526,OTHER
Alabama,1990,150,1185154,OTHER
Arizona,2020,59,3355307,OTHER
Colorado,1998,829370,1327235,REPUBLICAN
Connecticut,2010,6735,1153115,OTHER
Minnesota,2018,1566174,2596879,DEMOCRAT
Oregon,2016,23941,1952478,LIBERTARIAN
Wyoming,1982,94725,167191,REPUBLICAN
Rhode Island,2000,3635,391353,OTHER
Maryland,1998,444637,1507447,REPUBLICAN
Iowa,1996,9768,1224054,OTHER
Delaware,1988,151115,243493,REPUBLICAN
Tennessee,2014,1673,1374065,OTHER
Alaska,2004,149773,308315,REPUBLICAN
New Jersey,1990,918874,1938454,REPUBLICAN
Montana,2006,10377,406505,LIBERTARIAN
Oklahoma,1994,542390,982430,REPUBLICAN
Maryland,2016,972557,2726170,REPUBLICAN
Connecticut,2012,8,1511764,OTHER
West Virginia,2020,21155,778918,LIBERTARIAN
Illinois,2020,2319870,5968901,REPUBLICAN
Alabama,1996,633,1499393,OTHER
New Jersey,2000,2536,3015662,OTHER
Alaska,2004,423,308315,OTHER
Missouri,2000,1191812,2361586,DEMOCRAT
Alaska,1984,58804,206438,DEMOCRAT
Utah,1992,17549,758479,OTHER
New York,2012,21985,7116628,OTHER
Louisiana,2016,1424,1997218,OTHER
Georgia,2004,1287690,3220981,DEMOCRAT
Delaware,2008,257539,398134,DEMOCRAT
Minnesota,2002,3,2254636,OTHER
Vermont,1986,67798,196532,REPUBLICAN
Washington,2004,1549708,2818651,DEMOCRAT
Kentucky,1986,173330,677280,REPUBLICAN
California,1992,235919,10799703,LIBERTARIAN
Nevada,2018,441202,972132,REPUBLICAN
California,1976,104383,7470586,OTHER
Maryland,2004,783055,2321931,REPUBLICAN
Nevada,2006,5269,582572,LIBERTARIAN
New York,2004,1625069,7447818,REPUBLICAN
New Mexico,1984,141253,502634,DEMOCRAT
New York,2016,17813,7800725,OTHER
Hawaii,1998,70964,398124,REPUBLICAN
Colorado,2008,1230994,2331621,DEMOCRAT
New Jersey,1976,6650,2771390,OTHER
Pennsylvania,2012,96926,5627422,LIBERTARIAN
Indiana,1976,14321,2161187,OTHER
California,1988,166600,9743598,OTHER
Georgia,2008,29,3752485,OTHER
Louisiana,2010,3780,1264994,OTHER
Minnesota,2002,2254,2254636,OTHER
North Dakota,2010,52955,238534,DEMOCRAT
South Carolina,2016,37610,2049893,OTHER
Minnesota,2018,1101,2587356,OTHER
Louisiana,2002,119776,2481629,REPUBLICAN
Florida,2010,15340,5411106,OTHER
Maryland,2004,47,2321931,OTHER
New Mexico,1994,249989,463196,DEMOCRAT
Wisconsin,2006,1439214,2138297,DEMOCRAT
Minnesota,2000,21447,2419520,OTHER
Connecticut,2010,30836,1153115,OTHER
Texas,1978,1139149,2312540,DEMOCRAT
South Carolina,2020,1110828,2515104,DEMOCRAT
Arizona,1992,6335,1382051,OTHER
Oregon,1998,18221,1117747,LIBERTARIAN
California,2004,6955728,12053295,DEMOCRAT
Virginia,1994,235324,2057463,OTHER
New Hampshire,1980,179455,375060,DEMOCRAT
South Carolina,2014,672941,1240075,REPUBLICAN
Colorado,2020,71,3235790,OTHER
Alaska,1996,1009,231916,OTHER
Illinois,2010,3,3704473,OTHER
Georgia,2020,2374519,4952175,DEMOCRAT
Tennessee,1996,1091554,1778664,REPUBLICAN
Colorado,2014,24151,2041058,OTHER
California,2006,5076289,8541476,DEMOCRAT
Indiana,2016,149481,2732546,LIBERTARIAN
Colorado,2008,50004,2331621,OTHER
New Jersey,1978,2776,1957515,OTHER
Florida,2012,4523451,8189946,DEMOCRAT
New York,1980,21465,6014914,OTHER
Oklahoma,2020,21652,1556361,OTHER
Connecticut,2010,498341,1153115,REPUBLICAN
Delaware,1984,98101,245932,REPUBLICAN
Texas,1988,43989,5323606,LIBERTARIAN
Arkansas,1998,385878,700831,DEMOCRAT
New York,2010,168384,4763899,OTHER
New Jersey,1978,4736,1957515,OTHER
Massachusetts,1976,157,2491255,OTHER
Colorado,1996,750315,1459601,REPUBLICAN
Massachusetts,2008,93713,3102995,LIBERTARIAN
New Jersey,2020,2541178,4440440,DEMOCRAT
Arizona,2010,592011,1708484,DEMOCRAT
Tennessee,2020,64,2959761,OTHER
West Virginia,1988,223564,634547,REPUBLICAN
Colorado,1986,1571,1060765,OTHER
Minnesota,1984,3129,2066143,OTHER
Pennsylvania,1994,59115,3513361,LIBERTARIAN
New Mexico,1978,183442,343487,REPUBLICAN
New York,1986,212101,4484859,OTHER
New Jersey,2014,3544,1869535,OTHER
Michigan,2000,1994693,4167685,REPUBLICAN
South Carolina,1990,13805,750716,LIBERTARIAN
Tennessee,1994,6631,1480391,OTHER
Pennsylvania,1998,1028839,2957499,DEMOCRAT
New Hampshire,2004,588,657086,OTHER
Nevada,2018,9269,972132,OTHER
Oklahoma,1992,494350,1294423,DEMOCRAT
Wyoming,2006,135174,196215,REPUBLICAN
Kansas,1998,229718,727236,DEMOCRAT
Wisconsin,1976,1731,1935183,OTHER
Texas,1990,1429986,3822157,DEMOCRAT
Rhode Island,1996,127368,364371,REPUBLICAN
Illinois,2008,1,5329884,OTHER
Arizona,1992,26,1382051,OTHER
Minnesota,1982,5897,1804675,OTHER
Iowa,1978,3689,824576,LIBERTARIAN
Delaware,2010,10,307402,OTHER
Oregon,2010,18940,1442588,OTHER
South Dakota,2002,3071,337501,LIBERTARIAN
South Dakota,1986,152657,295830,DEMOCRAT
Ohio,1988,151,4352905,OTHER
Ohio,2010,648,3815098,OTHER
Massachusetts,1996,7169,2555942,OTHER
Georgia,2010,68750,2555258,LIBERTARIAN
Wisconsin,1982,4463,1544883,OTHER
New York,2000,82801,6959662,OTHER
Oregon,1978,550165,892518,REPUBLICAN
Louisiana,2014,4673,3523183,DEMOCRAT
Hawaii,1992,7547,363662,LIBERTARIAN
Oklahoma,1978,493953,754264,DEMOCRAT
Connecticut,2012,388,1511764,OTHER
New Hampshire,1996,22261,491873,LIBERTARIAN
Nevada,2016,14208,1108294,OTHER
Arkansas,2010,25234,779957,OTHER
Texas,2014,988,4648358,OTHER
Nevada,2000,330687,600776,REPUBLICAN
Kentucky,2014,806787,1435868,REPUBLICAN
California,1986,3646672,7398462,DEMOCRAT
California,2010,41,10000160,OTHER
Texas,2014,54701,4648358,OTHER
California,1998,3575078,8311905,REPUBLICAN
Alabama,1992,522015,1577799,REPUBLICAN
Michigan,2012,27890,4652918,OTHER
Oklahoma,2014,234307,820733,DEMOCRAT
Louisiana,2020,55710,2071543,DEMOCRAT
Arizona,2010,39,1708484,OTHER
West Virginia,2006,159154,206562,DEMOCRAT
Minnesota,1976,1290736,1912020,DEMOCRAT
Tennessee,2012,14,2321477,OTHER
Rhode Island,2020,328574,494262,DEMOCRAT
Connecticut,2004,457749,1424726,REPUBLICAN
Florida,1988,585,4068209,OTHER
Iowa,1996,280,1224054,OTHER
Florida,2004,3672864,7429894,REPUBLICAN
New Jersey,2006,2490,2250070,OTHER
North Carolina,1998,1029237,2012143,DEMOCRAT
Hawaii,2010,2697,370583,OTHER
Idaho,1996,198422,497233,DEMOCRAT
Iowa,1990,446869,983933,REPUBLICAN
Connecticut,2018,88,1386840,OTHER
New York,1998,319072,4989877,OTHER
Vermont,2004,75398,307208,REPUBLICAN
Connecticut,2012,6414,1511764,OTHER
Alabama,1978,5814,729842,OTHER
New Mexico,2020,418483,917237,REPUBLICAN
Georgia,2000,1413224,2415743,DEMOCRAT
Texas,2012,4440137,7864822,REPUBLICAN
Vermont,2016,192243,320467,DEMOCRAT
Kentucky,1980,386029,1106920,REPUBLICAN
Vermont,1994,106505,211672,REPUBLICAN
New York,1988,3907178,6040980,DEMOCRAT
Massachusetts,2018,979210,2707090,REPUBLICAN
California,2004,53,12053295,OTHER
Texas,1982,23494,3103167,LIBERTARIAN
Connecticut,2010,7,1153115,OTHER
Illinois,1980,11453,4580029,OTHER
Connecticut,2000,828902,1311261,DEMOCRAT
Indiana,1998,23641,1588617,LIBERTARIAN
Nevada,2016,42257,1108294,OTHER
North Dakota,2000,176470,287539,DEMOCRAT
Illinois,2020,3278930,5968901,DEMOCRAT
Virginia,2014,1055940,2184473,REPUBLICAN
North Carolina,2014,109100,2915281,LIBERTARIAN
Tennessee,1990,109,783922,OTHER
Montana,1984,215704,379155,DEMOCRAT
Pennsylvania,2010,2028945,3977661,REPUBLICAN
Pennsylvania,1976,3637,4546353,OTHER
Kentucky,2014,17,1435868,OTHER
Tennessee,1994,27,1465862,OTHER
Indiana,1990,696639,1502687,DEMOCRAT
Massachusetts,1976,1726657,2491255,DEMOCRAT
Tennessee,1996,654937,1778664,DEMOCRAT
Arizona,2006,12,1526782,OTHER
South Dakota,2014,47741,279412,OTHER
Texas,2002,35538,4514012,LIBERTARIAN
Texas,1976,17355,3874230,OTHER
Colorado,1986,11127,1060765,OTHER
Maine,1990,100,520320,OTHER
Missouri,1982,758629,1543521,DEMOCRAT
Indiana,2006,1171553,1341111,REPUBLICAN
New York,1986,60099,4484859,OTHER
South Carolina,1998,16991,1069063,LIBERTARIAN
North Dakota,1998,134747,213358,DEMOCRAT
Oregon,2008,805159,1767504,REPUBLICAN
Nevada,1994,5964,380530,LIBERTARIAN
California,1982,3494968,7805450,DEMOCRAT
South Dakota,1998,3796,262111,LIBERTARIAN
Arizona,1998,187,1013280,OTHER
Vermont,1976,85682,189060,DEMOCRAT
Delaware,2002,350,232314,OTHER
Maine,2000,197183,634872,DEMOCRAT
Louisiana,2016,347816,1997218,DEMOCRAT
Michigan,2002,23931,3129287,OTHER
Oregon,2016,651106,1952478,REPUBLICAN
New York,1980,275100,6014914,OTHER
Iowa,1992,293,1292494,OTHER
Vermont,2006,1518,262419,OTHER
Louisiana,2020,7680,2071543,OTHER
Wisconsin,1986,19266,1483174,OTHER
Washington,1980,792052,1728369,DEMOCRAT
Alaska,2016,36200,311441,DEMOCRAT
New Mexico,1976,906,413056,OTHER
South Carolina,2008,790621,1871431,DEMOCRAT
Rhode Island,2000,161023,391353,DEMOCRAT
Louisiana,2004,12463,1848056,OTHER
Kansas,1986,576902,823566,REPUBLICAN
Arizona,2016,694,2530730,OTHER
Arizona,1982,291749,723885,REPUBLICAN
Alabama,1986,602537,1211897,REPUBLICAN
Pennsylvania,2000,45775,4735116,LIBERTARIAN
Texas,1996,2428776,5527441,DEMOCRAT
Tennessee,2020,1840926,2959761,REPUBLICAN
Nebraska,2020,5788,930012,OTHER
Utah,2010,33095,585230,OTHER
Louisiana,2020,394049,2071543,DEMOCRAT
Wisconsin,1982,7947,1544883,LIBERTARIAN
Louisiana,2020,5804,2071543,OTHER
Wyoming,2002,133710,183280,REPUBLICAN
South Carolina,2004,10678,1597221,LIBERTARIAN
Vermont,2000,73352,288500,DEMOCRAT
Tennessee,2020,6781,2959761,OTHER
Delaware,1996,3340,275591,LIBERTARIAN
Missouri,1998,830625,1576857,REPUBLICAN
Louisiana,2002,596642,2481629,REPUBLICAN
New Hampshire,2004,221549,657086,DEMOCRAT
Maryland,1986,675225,1112637,DEMOCRAT
Maryland,2012,32252,2633234,LIBERTARIAN
North Dakota,2006,2194,218152,OTHER
West Virginia,2002,160902,436183,REPUBLICAN
Iowa,1984,716883,1292700,DEMOCRAT
Mississippi,1994,418333,608085,REPUBLICAN
Michigan,1976,1831031,3490412,DEMOCRAT
Tennessee,2014,7713,1374065,OTHER
Maine,2020,40579,828305,OTHER
California,2010,175242,10000160,LIBERTARIAN
Maryland,2016,26,2726170,OTHER
Massachusetts,1988,884267,2606225,REPUBLICAN
Arkansas,2008,207076,1011754,OTHER
Florida,2016,196956,9301820,LIBERTARIAN
Alaska,2016,706,311441,OTHER
Rhode Island,1996,6327,364371,OTHER
Minnesota,2012,867974,2843207,REPUBLICAN
Hawaii,1982,8953,306410,OTHER
New Jersey,2000,3836,3015662,OTHER
Rhode Island,2006,178950,384993,REPUBLICAN
New York,2010,244385,4757635,OTHER
Wyoming,2002,49570,183280,DEMOCRAT
Montana,1984,9143,379155,LIBERTARIAN
Georgia,2020,44335,4914361,REPUBLICAN
Ohio,2004,3464356,5425823,REPUBLICAN
Connecticut,1992,35315,1500661,OTHER
Connecticut,1988,12409,1383526,LIBERTARIAN
Massachusetts,2018,2799,2707090,OTHER
Maryland,1998,1062810,1507447,DEMOCRAT
California,1988,51,9743598,OTHER
South Dakota,1990,6567,258976,OTHER
Connecticut,1994,334833,1079664,REPUBLICAN
Massachusetts,1996,1143120,2555942,REPUBLICAN
Pennsylvania,1986,1906537,3378226,REPUBLICAN
Oregon,2016,59516,1952478,OTHER
Connecticut,2016,26,1596276,OTHER
Nevada,2000,2540,600776,OTHER
Delaware,2000,1103,326993,LIBERTARIAN
New York,1988,1686558,6040980,REPUBLICAN
Vermont,2018,1280,272624,OTHER
West Virginia,2014,5504,453689,OTHER
North Dakota,2004,212143,310696,DEMOCRAT
Illinois,1998,1709041,3394521,REPUBLICAN
New York,1976,25141,6666875,OTHER
South Carolina,1986,4588,737962,OTHER
Illinois,2010,468,3704473,OTHER
Wyoming,2000,47087,213659,DEMOCRAT
Virginia,1990,196755,1083690,OTHER
North Carolina,2014,1423259,2915281,REPUBLICAN
Wisconsin,1976,521902,1935183,REPUBLICAN
Pennsylvania,1988,25273,4366598,OTHER
New York,1992,289258,7078805,OTHER
Vermont,2000,1477,288500,OTHER
Alabama,1996,786436,1499393,REPUBLICAN
Utah,1982,309332,530802,REPUBLICAN
Colorado,2016,8361,2743023,OTHER
Illinois,2020,75673,5968901,LIBERTARIAN
New Jersey,2020,38288,4440440,OTHER
Vermont,1976,96,189060,OTHER
Delaware,2002,94793,232314,REPUBLICAN
Alaska,1996,177893,231916,REPUBLICAN
Missouri,2004,1518089,2706402,REPUBLICAN
Louisiana,2016,21019,1997218,REPUBLICAN
New Jersey,2000,1511237,3015662,DEMOCRAT
Minnesota,1978,4116,1558376,LIBERTARIAN
New York,2004,19073,7447818,LIBERTARIAN
Tennessee,2006,929911,1833695,REPUBLICAN
Colorado,1996,66,1459601,OTHER
Montana,2000,9089,411601,OTHER
Wyoming,1978,50456,133364,REPUBLICAN
Louisiana,2020,11321,2071543,LIBERTARIAN
Georgia,2010,24,2555258,OTHER
New York,1988,14770,6040980,OTHER
Wisconsin,1976,2148,1935183,OTHER
New Mexico,2008,505128,823650,DEMOCRAT
New York,1988,141471,6040980,OTHER
Mississippi,1988,510380,946719,REPUBLICAN
Virginia,1988,593652,2068897,REPUBLICAN
Kentucky,1996,560012,1307046,DEMOCRAT
Connecticut,1982,8163,1083508,LIBERTARIAN
Texas,2008,3389365,7912075,DEMOCRAT
Delaware,1994,3386,199000,LIBERTARIAN
Tennessee,2000,8416,1928613,OTHER
Pennsylvania,1986,23470,3378226,OTHER
New York,1982,232,4967729,OTHER
Nebraska,2008,317456,792511,DEMOCRAT
Rhode Island,2020,164855,494262,REPUBLICAN
Tennessee,1994,1184,1465862,OTHER
Vermont,1986,65,196532,OTHER
Tennessee,1990,8021,783922,OTHER
Oregon,2002,712287,1267221,REPUBLICAN
Louisiana,2014,11323,3523183,DEMOCRAT
Alabama,1980,650362,1296757,REPUBLICAN
Delaware,2002,996,232314,OTHER
Kansas,2010,11624,837692,OTHER
West Virginia,2020,210309,778918,DEMOCRAT
Alabama,2010,1699,1485499,OTHER
North Carolina,1998,36963,2012143,LIBERTARIAN
Colorado,1986,529449,1060765,DEMOCRAT
Tennessee,2006,2589,1833695,OTHER
Alaska,1986,97674,180801,REPUBLICAN
Massachusetts,1996,1511,2555942,OTHER
Virginia,2008,3178,3643294,OTHER
Ohio,1994,1348213,3436884,DEMOCRAT
Iowa,1986,299406,891762,DEMOCRAT
Colorado,2002,648130,1416082,DEMOCRAT
Kansas,1996,652677,1052300,REPUBLICAN
Michigan,1984,818,3700938,OTHER
Rhode Island,2012,271034,418189,DEMOCRAT
Wyoming,1996,2569,211077,OTHER
Illinois,1980,1946296,4580029,REPUBLICAN
Utah,1976,223948,522108,DEMOCRAT
Kentucky,2016,6,1903465,OTHER
Texas,2002,1955758,4514012,DEMOCRAT
South Carolina,2010,810771,1318794,REPUBLICAN
Illinois,2016,1,5491878,OTHER
Texas,2000,91329,6267964,OTHER
South Carolina,2002,487359,1102912,DEMOCRAT
Michigan,1990,250,2560494,OTHER
Connecticut,2018,545717,1386840,REPUBLICAN
Mississippi,2008,683409,1243473,REPUBLICAN
Nebraska,1988,278250,667860,REPUBLICAN
Mississippi,1978,267302,590236,REPUBLICAN
Vermont,1980,1776,209124,OTHER
Indiana,1976,1275833,2161187,REPUBLICAN
Oregon,2004,43053,1780550,OTHER
South Dakota,1986,143173,295830,REPUBLICAN
New York,1982,175650,4967729,OTHER
Arizona,2000,1108196,1397076,REPUBLICAN
Kentucky,1996,8344,1307046,OTHER
Colorado,1990,569048,1022027,REPUBLICAN
Washington,2010,1196164,2511094,REPUBLICAN
North Carolina,2014,1377651,2915281,DEMOCRAT
North Carolina,1984,1156768,2239051,REPUBLICAN
Missouri,2010,3,1943899,OTHER
New Jersey,2006,1200843,2250070,DEMOCRAT
