State,Year,TurnoutRate
United States,2022,0.45909999999999995
Alabama,2022,0.37310000000000004
Alaska,2022,0.5027
Arizona,2022,0.4918
Arkansas,2022,0.4153
California,2022,0.4286
Colorado,2022,0.5817
Connecticut,2022,0.48710000000000003
Delaware,2022,0.4265
District Of Columbia,2022,0.409
Florida,2022,0.4849
Georgia,2022,0.5192
Hawaii,2022,0.40149999999999997
Idaho,2022,0.425
Illinois,2022,0.4583
Indiana,2022,0.3729
Iowa,2022,0.5216
Kansas,2022,0.4763
Kentucky,2022,0.4475
Louisiana,2022,0.4188
Maine,2022,0.6064
Maryland,2022,0.46159999999999995
Massachusetts,2022,0.48869999999999997
Michigan,2022,0.5895
Minnesota,2022,0.5948
Mississippi,2022,0.32520000000000004
Missouri,2022,0.49579999999999996
Montana,2022,0.5324
Nebraska,2022,0.484
Nevada,2022,0.45890000000000003
New Hampshire,2022,0.5631
New Jersey,2022,0.4105
New Mexico,2022,0.46159999999999995
New York,2022,0.42469999999999997
North Carolina,2022,0.4757
North Dakota,2022,0.4194
Ohio,2022,0.47100000000000003
Oklahoma,2022,0.3962
Oregon,2022,0.6263000000000001
Pennsylvania,2022,0.5438000000000001
Rhode Island,2022,0.4403
South Carolina,2022,0.42619999999999997
South Dakota,2022,0.5274
Tennessee,2022,0.33299999999999996
Texas,2022,0.4152
Utah,2022,0.4707
Vermont,2022,0.5561
Virginia,2022,0.4752
Washington,2022,0.5481
West Virginia,2022,0.35409999999999997
Wisconsin,2022,0.6009
Wyoming,2022,0.45280000000000004
United States,2020,0.6598999999999999
Alabama,2020,0.6146
Alaska,2020,0.6823
Arizona,2020,0.6663
Arkansas,2020,0.5617
California,2020,0.6883
Colorado,2020,0.7669
Connecticut,2020,0.7009000000000001
Delaware,2020,0.6834
District Of Columbia,2020,0.6887000000000001
Florida,2020,0.7079000000000001
Georgia,2020,0.6706
Hawaii,2020,0.5535
Idaho,2020,0.6494
Illinois,2020,0.6652
Indiana,2020,0.6106
Iowa,2020,0.7204
Kansas,2020,0.6509999999999999
Kentucky,2020,0.6441
Louisiana,2020,0.6414
Maine,2020,0.7487
Maryland,2020,0.6945
Massachusetts,2020,0.7131000000000001
Michigan,2020,0.7326999999999999
Minnesota,2020,0.7920999999999999
Mississippi,2020,0.6063000000000001
Missouri,2020,0.6548999999999999
Montana,2020,0.7134
Nebraska,2020,0.6906
Nevada,2020,0.6425
New Hampshire,2020,0.7395999999999999
New Jersey,2020,0.7204
New Mexico,2020,0.6049
New York,2020,0.6171
North Carolina,2020,0.71
North Dakota,2020,0.6307
Ohio,2020,0.6708
Oklahoma,2020,0.5443
Oregon,2020,0.7533
Pennsylvania,2020,0.6993
Rhode Island,2020,0.6309
South Carolina,2020,0.6470999999999999
South Dakota,2020,0.6562
Tennessee,2020,0.5924
Texas,2020,0.5979
Utah,2020,0.6722
Vermont,2020,0.7125
Virginia,2020,0.7179000000000001
Washington,2020,0.7533
West Virginia,2020,0.5719
Wisconsin,2020,0.7504000000000001
Wyoming,2020,0.6474
United States,2018,0.5005
Alabama,2018,0.4718
Alaska,2018,0.5418999999999999
Arizona,2018,0.4789
Arkansas,2018,0.4155
California,2018,0.4893
Colorado,2018,0.6207
Connecticut,2018,0.5462
Delaware,2018,0.514
District Of Columbia,2018,0.4353
Florida,2018,0.5443
Georgia,2018,0.5445
Hawaii,2018,0.3906
Idaho,2018,0.49770000000000003
Illinois,2018,0.5127
Indiana,2018,0.46880000000000005
Iowa,2018,0.5766
Kansas,2018,0.5095000000000001
Kentucky,2018,0.488
Louisiana,2018,0.4498
Maine,2018,0.6037
Maryland,2018,0.5426
Massachusetts,2018,0.5478000000000001
Michigan,2018,0.5761999999999999
Minnesota,2018,0.6420999999999999
Mississippi,2018,0.4371
Missouri,2018,0.5345
Montana,2018,0.6213000000000001
Nebraska,2018,0.5163
Nevada,2018,0.46799999999999997
New Hampshire,2018,0.5439
New Jersey,2018,0.5367999999999999
New Mexico,2018,0.46740000000000004
New York,2018,0.4526
North Carolina,2018,0.4951
North Dakota,2018,0.5867
Ohio,2018,0.5103
Oklahoma,2018,0.4226
Oregon,2018,0.6122
Pennsylvania,2018,0.5175
Rhode Island,2018,0.48090000000000005
South Carolina,2018,0.4515
South Dakota,2018,0.531
Tennessee,2018,0.4511
Texas,2018,0.45799999999999996
Utah,2018,0.5151
Vermont,2018,0.5573
Virginia,2018,0.5447
Washington,2018,0.5911
West Virginia,2018,0.4236
Wisconsin,2018,0.6174000000000001
Wyoming,2018,0.4818
United States,2016,0.6012
Alabama,2016,0.5912
Alaska,2016,0.6156
Arizona,2016,0.5597
Arkansas,2016,0.5311
California,2016,0.5831000000000001
Colorado,2016,0.7199
Connecticut,2016,0.6473
Delaware,2016,0.6451
District Of Columbia,2016,0.6036
Florida,2016,0.6572
