State,Year,TurnoutRate
Michigan,2008,0.6968000000000001
Connecticut,1996,0.6035
Ohio,1982,0.4619
New York,2020,0.6171
Indiana,1986,0.4105
Michigan,2020,0.7326999999999999
Rhode Island,2008,0.6223
Connecticut,2014,0.4261999999999999
Connecticut,2010,0.4593
Ohio,1980,0.5736
South Carolina,1994,0.3572999999999999
Vermont,2002,0.5038
Alabama,2022,0.3731
Kansas,2004,0.6303
Idaho,2010,0.4339
Oklahoma,1988,0.5309
Massachusetts,1982,0.503
Tennessee,2014,0.2975
Idaho,1992,0.669
New Hampshire,2006,0.4318
Ohio,2018,0.5103
Illinois,1994,0.3938
Delaware,1980,0.5676
Louisiana,2012,0.6086
Wyoming,2008,0.631
Oregon,2012,0.6428
Vermont,1988,0.6670999999999999
Michigan,1982,0.493
Connecticut,2012,0.613
Pennsylvania,2014,0.365
Colorado,2016,0.7199
Nevada,1986,0.3775
Maine,2010,0.5589
Ohio,1992,0.6254
South Carolina,2014,0.3517
Nebraska,2008,0.6365999999999999
California,1988,0.5745
Michigan,2014,0.4317
Kansas,2002,0.4473
Illinois,1980,0.6189
Alaska,2020,0.6823
Utah,2022,0.4707
Arizona,1990,0.4337
Iowa,2016,0.6918000000000001
North Carolina,2004,0.5856
Alaska,1990,0.5423
Wyoming,2010,0.4577
Washington,1990,0.3983
District Of Columbia,1988,0.4347999999999999
Minnesota,1992,0.7393000000000001
Pennsylvania,2022,0.5438000000000001
Tennessee,1998,0.2507
Washington,1984,0.6286999999999999
Kentucky,2022,0.4475
Utah,1990,0.4219
United States,2016,0.6012
Illinois,2014,0.4095
Hawaii,2012,0.4436
Alaska,2014,0.5518
Mississippi,1994,0.3261
Wisconsin,2022,0.6009
Idaho,1986,0.5927
South Carolina,1982,0.3045
Wisconsin,2018,0.6174000000000001
Minnesota,1994,0.5516
Kentucky,2018,0.488
Minnesota,1984,0.7097
Georgia,2016,0.5985
North Carolina,2010,0.3985
Maryland,2002,0.4625
United States,2006,0.414
Pennsylvania,2012,0.599
Florida,2022,0.4849
Alabama,2018,0.4718
Iowa,2020,0.7204
Indiana,2006,0.3762
Oregon,1994,0.5625
Iowa,2008,0.6962999999999999
Wisconsin,2014,0.5700999999999999
New Mexico,2002,0.4022
Rhode Island,2010,0.4535
North Dakota,1990,0.5205
Idaho,1982,0.5107
South Carolina,1984,0.4372
Arkansas,2006,0.3876
Maine,2022,0.6064
Maryland,1984,0.5446
Louisiana,2010,0.3994
New Hampshire,1984,0.5657
Louisiana,2020,0.6414
West Virginia,2022,0.3540999999999999
West Virginia,1980,0.5352
Oregon,2010,0.5388000000000001
Michigan,2012,0.6525
Hawaii,2018,0.3906
Minnesota,2020,0.7920999999999999
Washington,2022,0.5481
Wyoming,2012,0.5903
Arizona,2012,0.5291
New Mexico,1990,0.4182
South Dakota,1996,0.6218
Minnesota,1998,0.6231
Hawaii,2020,0.5535
Kansas,1990,0.4517
United States,2020,0.6598999999999999
Massachusetts,2008,0.6729
Maine,2018,0.6037
South Carolina,1980,0.4235
Idaho,2002,0.4584
Alaska,2008,0.6825
New Mexico,1982,0.4545
Illinois,2018,0.5127
Hawaii,2022,0.4014999999999999
Alabama,2016,0.5912
Michigan,2018,0.5761999999999999
Hawaii,2004,0.48
Montana,2014,0.4753
North Dakota,2004,0.6466
New York,2014,0.2913
Louisiana,2008,0.6178
United States,2010,0.4099
Rhode Island,1982,0.5414
Oregon,1988,0.6232
Missouri,2006,0.5121
District Of Columbia,1984,0.4647
Vermont,1992,0.6978
Arkansas,2010,0.3792999999999999
Kansas,2022,0.4763
New Hampshire,2016,0.7206999999999999
Pennsylvania,2010,0.4241
Wyoming,2006,0.5072
District Of Columbia,1996,0.4743
Tennessee,2006,0.4211
North Carolina,2014,0.4122
Oregon,1984,0.6637000000000001
Illinois,2016,0.6292
New Jersey,2016,0.6638
Idaho,1984,0.6364
Massachusetts,2004,0.649
South Carolina,2012,0.5690999999999999
New Jersey,1994,0.3953
Rhode Island,2004,0.5889
Colorado,2010,0.5192
Missouri,2020,0.6548999999999999
Colorado,2004,0.6801999999999999
South Dakota,2016,0.603
Wisconsin,2010,0.5251
New Mexico,1984,0.546
Utah,1982,0.5582
Oklahoma,2008,0.5633
Maryland,2022,0.4615999999999999
Montana,1998,0.518
Iowa,1994,0.4921999999999999
South Dakota,2014,0.4551
North Dakota,2014,0.4571
Oregon,2002,0.5211
North Dakota,2022,0.4194
Nevada,2020,0.6425
Arizona,2016,0.5597
Maryland,2010,0.4698
Minnesota,1988,0.6886
Vermont,1984,0.6164999999999999
Florida,1996,0.5325
California,2018,0.4893
Delaware,1994,0.3928
Nevada,2004,0.5465
Rhode Island,2020,0.6309
New York,2008,0.5965
West Virginia,2006,0.3336
Iowa,1982,0.508
New York,1994,0.4368999999999999
New Hampshire,1980,0.6093
Arizona,2008,0.5735
Arizona,2014,0.3377
Nevada,1980,0.5189
District Of Columbia,2016,0.6036
New Hampshire,2014,0.4804
New Mexico,2016,0.5458
North Dakota,1996,0.5711999999999999
Washington,2000,0.6257
New Mexico,2010,0.4462
Vermont,2004,0.6686
Oregon,1990,0.5506
Nebraska,1998,0.4858
North Dakota,1988,0.662
Wyoming,2018,0.4818
Idaho,2006,0.4627
South Dakota,1994,0.6129
Rhode Island,1980,0.6269
Washington,1980,0.6064
Illinois,2020,0.6652
Ohio,2000,0.5786
Rhode Island,1986,0.4539
Hawaii,1982,0.4847999999999999
Delaware,2012,0.6307
California,2016,0.5831000000000001
California,2000,0.5596
Idaho,1990,0.4758
Indiana,1996,0.5104
Oklahoma,1990,0.413
Oregon,1996,0.6058
Washington,2020,0.7533
Oregon,2004,0.7298
United States,1998,0.3931
Maryland,2014,0.4213
Massachusetts,2010,0.4953
California,1998,0.4471
Virginia,1996,0.5127
New Hampshire,1996,0.6004999999999999
South Carolina,2008,0.5822999999999999
Ohio,1984,0.6032
Hawaii,2014,0.3679
Nevada,2008,0.5717
Nevada,1984,0.4479999999999999
West Virginia,2012,0.4735
New York,1992,0.5782
Utah,1986,0.435
Indiana,2022,0.3729
Oklahoma,2014,0.3002
Texas,2000,0.4962
Colorado,2022,0.5817
South Carolina,2004,0.5305
Montana,2004,0.6507
North Dakota,2008,0.6363
North Dakota,1994,0.5125
Iowa,2002,0.4864
United States,2018,0.5005
Tennessee,2012,0.5236
Nevada,1994,0.3745
United States,2014,0.3661
South Dakota,2012,0.6019
Wyoming,2022,0.4528
Oregon,2020,0.7533
South Dakota,2010,0.5405
Hawaii,1998,0.4957999999999999
Massachusetts,2022,0.4886999999999999
Georgia,2008,0.627
Utah,2000,0.5465
Florida,2014,0.4305
New York,1986,0.3653
Rhode Island,1984,0.6061
Indiana,1990,0.3838
Arizona,2004,0.557
Wisconsin,2004,0.755
Louisiana,2004,0.6041
West Virginia,2016,0.5142
Iowa,1988,0.6136
North Carolina,2016,0.6472
West Virginia,2010,0.3715
Wyoming,1998,0.5095000000000001
Hawaii,2008,0.4906
Nevada,2016,0.5775
New Mexico,1994,0.4307
South Dakota,2008,0.6559999999999999
Oregon,2016,0.682
New Hampshire,2002,0.4876
Pennsylvania,2008,0.6418
Georgia,1996,0.4582
South Carolina,1998,0.3865999999999999
New Jersey,2006,0.4084
Nebraska,2018,0.5163
Mississippi,2014,0.2907
Kansas,2016,0.5954
Massachusetts,2016,0.6812
Alabama,2010,0.431
Arizona,2010,0.4144
Iowa,2006,0.4914
Georgia,2000,0.488
New York,2002,0.3736
California,1980,0.562
Iowa,1992,0.6613
Wisconsin,2016,0.6992
North Dakota,1998,0.4575
Nevada,2002,0.363
Texas,2020,0.5979
Oklahoma,1992,0.6347999999999999
New Mexico,1980,0.532
Connecticut,2002,0.4527
Massachusetts,2020,0.7131000000000001
Oklahoma,2020,0.5443
Oregon,2022,0.6263000000000001
Michigan,2016,0.6554000000000001
Washington,1998,0.4936
United States,2022,0.4590999999999999
Vermont,2022,0.5561
Indiana,2016,0.5777
New Hampshire,2008,0.7251000000000001
Maryland,1990,0.3445
Hawaii,1984,0.5032
Delaware,2004,0.6412
Wisconsin,2006,0.539
Massachusetts,1996,0.5932
Arizona,2018,0.4789
California,1994,0.4814
Nevada,2018,0.4679999999999999
Illinois,1998,0.4275
Indiana,2014,0.2889
Kentucky,1996,0.493
Indiana,2010,0.3812
Ohio,2004,0.6807
Wisconsin,2020,0.7504000000000001
West Virginia,1996,0.4711
Arkansas,2018,0.4155
Iowa,2004,0.7051000000000001
California,2014,0.3078
Louisiana,1992,0.6006
Tennessee,2004,0.5684
Oklahoma,1996,0.5142
Oregon,2014,0.5325
Connecticut,1980,0.6468
Rhode Island,2000,0.5608
Maryland,2018,0.5426
New Jersey,2018,0.5367999999999999
California,2002,0.377
District Of Columbia,1990,0.3887
Vermont,2000,0.6542
New York,2000,0.5616
Minnesota,2006,0.6065
Alabama,2008,0.6093999999999999
Ohio,1990,0.4539999999999999
Iowa,2014,0.5033
Missouri,2022,0.4957999999999999
South Dakota,2002,0.6146
New Jersey,1980,0.5853
California,2006,0.4159
Michigan,1990,0.3946
Massachusetts,2002,0.4927
Arizona,2022,0.4918
New Hampshire,2018,0.5439
Tennessee,2010,0.3495
New Mexico,1986,0.4136999999999999
Alaska,1984,0.6213000000000001
Michigan,1988,0.5666
Michigan,2002,0.4508
Delaware,1990,0.3782
Kansas,2014,0.4341
Wyoming,1990,0.5252
California,2008,0.6171
Delaware,1992,0.5821999999999999
Montana,2010,0.484
Connecticut,2006,0.4747999999999999
Colorado,1980,0.5914
New Jersey,1982,0.4377
Virginia,2006,0.4435
Georgia,2020,0.6706
Washington,2010,0.5474
Nevada,2014,0.2946999999999999
Delaware,2018,0.514
Louisiana,1998,0.3197
Ohio,2002,0.402
Massachusetts,2018,0.5478000000000001
Wyoming,2014,0.401
Vermont,1994,0.5073
Wyoming,1994,0.6052000000000001
New York,2018,0.4526
Connecticut,2022,0.4871
